country_code,year,free_education_years,inbound_mobility_rate,outbound_mobility_rate,region
TGO,2016,5.0,,7.060739994049072,Africa
TGO,2017,5.0,,6.925139904022217,Africa
TGO,2018,5.0,,7.240530014038086,Africa
TGO,2019,5.0,,6.81898021697998,Africa
TGO,2020,5.0,,6.381030082702637,Africa
TGO,2021,5.0,,,Africa
TGO,2022,5.0,,,Africa
TUN,2013,11.0,1.848289966583252,5.058909893035889,Africa
TUN,2014,11.0,,5.458849906921387,Africa
TUN,2015,11.0,1.996749997138977,5.857619762420654,Africa
TUN,2016,11.0,2.116909980773926,7.029160022735596,Africa
TUN,2017,11.0,2.257230043411255,7.92588996887207,Africa
TUN,2018,11.0,2.216619968414307,8.789119720458984,Africa
TUN,2019,11.0,,9.080869674682615,Africa
TUN,2020,11.0,3.094379901885986,9.347979545593262,Africa
TUN,2021,11.0,3.082870006561279,9.788129806518556,Africa
TUN,2022,11.0,2.892770051956177,9.116069793701172,Africa
TZA,2013,7.0,,3.786969900131226,Africa
TZA,2014,7.0,,,Africa
TZA,2015,7.0,,3.741090059280396,Africa
TZA,2016,7.0,,3.959850072860718,Africa
TZA,2017,7.0,,,Africa
TZA,2018,7.0,,,Africa
TZA,2019,7.0,,,Africa
TZA,2020,7.0,,,Africa
TZA,2021,13.0,0.4491499960422516,3.623140096664429,Africa
TZA,2022,13.0,0.4072099924087524,2.557670116424561,Africa
UGA,2014,,,3.334579944610596,Africa
ZAF,2013,12.0,4.089540004730225,0.6866099834442139,Africa
ZAF,2014,12.0,4.181859970092773,0.8079699873924255,Africa
ZAF,2015,12.0,4.120910167694092,0.8672699928283691,Africa
ZAF,2016,12.0,4.284520149230957,0.9636399745941162,Africa
ZAF,2017,12.0,4.062119960784912,0.9659299850463868,Africa
ZAF,2018,12.0,3.588989973068237,1.02249002456665,Africa
ZAF,2019,12.0,3.471960067749023,1.079229950904846,Africa
ZAF,2020,12.0,3.044209957122803,1.127709984779358,Africa
ZAF,2021,12.0,2.922719955444336,1.092869997024536,Africa
ZAF,2022,12.0,2.501760005950928,1.035030007362366,Africa
ZMB,2013,7.0,,,Africa
ZMB,2014,7.0,,,Africa
ZMB,2015,7.0,,,Africa
ZMB,2016,7.0,,,Africa
ZMB,2017,7.0,,,Africa
ZMB,2018,7.0,,,Africa
ZMB,2019,7.0,,,Africa
ZMB,2020,7.0,,,Africa
ZMB,2021,7.0,,,Africa
ZMB,2022,7.0,,,Africa
ZWE,2013,,,17.77263069152832,Africa
ZWE,2015,,0.4668999910354614,12.69165992736816,Africa
AFG,2013,12.0,,,Asia
AFG,2014,12.0,0.0,7.469590187072754,Asia
AFG,2015,12.0,,,Asia
AFG,2016,12.0,,,Asia
AFG,2017,12.0,,,Asia
AFG,2018,12.0,,8.281169891357422,Asia
AFG,2019,12.0,,,Asia
AFG,2020,12.0,0.0,7.728990077972412,Asia
AFG,2021,12.0,,,Asia
AFG,2022,12.0,,,Asia
ARE,2013,12.0,,6.562910079956055,Asia
ARE,2014,12.0,,6.590320110321045,Asia
ARE,2015,12.0,,6.957449913024902,Asia
ARE,2016,12.0,,7.345349788665771,Asia
ARE,2017,12.0,,5.8713698387146,Asia
ARE,2018,12.0,72.5889892578125,,Asia
ARE,2019,12.0,72.78182983398438,4.516600131988525,Asia
ARE,2020,12.0,71.97245025634766,4.971459865570068,Asia
ARE,2021,12.0,71.31717681884766,,Asia
ARE,2022,12.0,70.20426177978516,,Asia
ARM,2013,12.0,3.016309976577759,6.203700065612793,Asia
ARM,2014,12.0,3.949069976806641,6.626580238342285,Asia
